time,currency,impact,event,window_start,window_end,source,country
2020-06-04T11:45:00,EUR,high,Monetary Policy Statement,2020-06-04T11:42:00,2020-06-04T11:48:00,forexfactory,EZ
2020-06-04T12:30:00,EUR,high,ECB Press Conference,2020-06-04T12:27:00,2020-06-04T12:33:00,forexfactory,EZ
2020-06-05T12:30:00,USD,high,Average Hourly Earnings m/m,2020-06-05T12:27:00,2020-06-05T12:33:00,forexfactory,US
2020-06-05T12:30:00,USD,high,Non-Farm Employment Change,2020-06-05T12:27:00,2020-06-05T12:33:00,forexfactory,US
2020-06-05T12:30:00,USD,high,Unemployment Rate,2020-06-05T12:27:00,2020-06-05T12:33:00,forexfactory,US
2020-06-08T13:45:00,EUR,high,ECB President Lagarde Speaks,2020-06-08T13:42:00,2020-06-08T13:48:00,forexfactory,EZ
2020-06-10T12:30:00,USD,high,CPI m/m,2020-06-10T12:27:00,2020-06-10T12:33:00,forexfactory,US
2020-06-10T12:30:00,USD,high,CPI y/y,2020-06-10T12:27:00,2020-06-10T12:33:00,forexfactory,US
2020-06-10T12:30:00,USD,high,Core CPI m/m,2020-06-10T12:27:00,2020-06-10T12:33:00,forexfactory,US
2020-06-10T18:00:00,USD,high,FOMC Economic Projections,2020-06-10T17:57:00,2020-06-10T18:03:00,forexfactory,US
2020-06-10T18:00:00,USD,high,FOMC Statement,2020-06-10T17:57:00,2020-06-10T18:03:00,forexfactory,US
2020-06-10T18:00:00,USD,high,Federal Funds Rate,2020-06-10T17:57:00,2020-06-10T18:03:00,forexfactory,US
2020-06-10T18:30:00,USD,high,FOMC Press Conference,2020-06-10T18:27:00,2020-06-10T18:33:00,forexfactory,US
2020-06-12T14:00:00,USD,high,Prelim UoM Consumer Sentiment,2020-06-12T13:57:00,2020-06-12T14:03:00,forexfactory,US
2020-06-15T18:00:00,USD,high,Fed Announcement,2020-06-15T17:57:00,2020-06-15T18:03:00,forexfactory,US
2020-06-16T12:30:00,USD,high,Core Retail Sales m/m,2020-06-16T12:27:00,2020-06-16T12:33:00,forexfactory,US
